serie,grupo,temporalidad,unidad,formato,frecuencia,n_entidades,n_obs,inicio,fin,cobertura_%,media,std,min,max,ceros_%,agregacion,mb
demanda_upme_alto,demanda,ex_ante,kWh/mes,largo,mensual,1,132,2015-01-01,2025-12-01,100.0,6377311509.426049,588315123.9435302,5252530000.0,7551000000.0,0.0,sum,0.0
demanda_upme_bajo,demanda,ex_ante,kWh/mes,largo,mensual,1,132,2015-01-01,2025-12-01,100.0,6045968774.954117,470317866.74921685,5081930000.0,6905000000.0,0.0,sum,0.0
demanda_upme_medio,demanda,ex_ante,kWh/mes,largo,mensual,1,132,2015-01-01,2025-12-01,100.0,6210486038.043195,527530877.61184585,5167100000.0,7224000000.0,0.0,sum,0.0
cee,economica,ex_ante,COP/kWh,largo,mensual,1,132,2015-01-01,2025-12-01,100.0,65.71993939393938,14.911701294368864,36.734,99.646,0.0,mean,0.0
cere,economica,ex_ante,COP/kWh,largo,mensual,1,132,2015-01-01,2025-12-01,100.0,69.07228727272727,15.574176860706476,38.65015,102.47888,0.0,mean,0.0
mc,economica,ex_ante,COP/kWh,largo,mensual,1,132,2015-01-01,2025-12-01,100.0,232.00295856060606,55.91076530434703,146.81409,313.89113,0.0,mean,0.0
enficc,escasez,ex_ante,kWh,largo,diaria,1,4018,2015-01-01,2025-12-31,100.0,228294002.81169635,13802243.505328696,209168694.5976,249643862.76526,0.0,sum,0.0
precio_cargo_conf,escasez,ex_ante,COP/kWh,largo,diaria,82,4018,2015-01-01,2025-12-31,100.0,61.42961875360637,13.554870751061022,35.983191923076916,90.49030044117647,0.0,mean,0.5
precio_escasez,escasez,ex_ante,COP/kWh,largo,diaria,1,4018,2015-01-01,2025-12-31,100.0,574.5075743827774,207.7106670050633,289.78734,1037.23236,0.0,mean,0.0
precio_escasez_act,escasez,ex_ante,COP/kWh,largo,diaria,1,2647,2017-12-01,2025-02-28,65.9,852.117151722705,265.5252457978822,562.99838,1790.95199,0.0,mean,0.0
precio_escasez_inf,escasez,ex_ante,COP/kWh,largo,diaria,1,306,2025-03-01,2025-12-31,7.6,337.2441259477124,7.515929379296769,323.89204,350.0827,0.0,mean,0.0
precio_escasez_pon,escasez,ex_ante,COP/kWh,largo,diaria,1,2590,2018-10-01,2025-12-31,64.5,853.0354631814671,245.27385886625103,527.4859,1671.03047,0.0,mean,0.0
precio_marg_escasez,escasez,ex_ante,COP/kWh,largo,diaria,1,2953,2017-12-01,2025-12-31,73.5,855.2630547307822,251.7659991671065,562.99838,1790.95199,0.0,mean,0.0
costo_marginal_prog,oferta,ex_ante,COP/kWh,ancho_horario,diaria,1,4018,2015-01-01,2025-12-31,100.0,258.782550368559,254.25138417194333,57.72649708333333,2927.1356825,0.0,mean,0.4
disp_comercial,oferta,ex_ante,kWh,ancho_horario,diaria,508,4018,2015-01-01,2025-12-31,100.0,342502590.0213638,27900889.023375534,215854977.78,423268415.1,0.0,sum,119.6
disp_declarada,oferta,ex_ante,kWh,ancho_horario,diaria,486,4018,2015-01-01,2025-12-31,100.0,345848164.8033848,31878711.633802492,220016160.0,434804850.0,0.0,sum,12.5
disp_real,oferta,ex_ante,kWh,ancho_horario,diaria,486,4018,2015-01-01,2025-12-31,100.0,329242221.9089099,23843733.04069882,212407826.0,400778332.0,0.0,sum,6.5
gen_programada,oferta,ex_ante,kWh,ancho_horario,diaria,482,4017,2015-01-01,2025-12-31,100.0,197181132.74363208,22236467.301992036,136337514.61,249602061.3,0.0,sum,27.8
max_precio_oferta,oferta,ex_ante,COP/kWh,ancho_horario,diaria,1,3994,2015-01-01,2025-12-31,99.4,290.5555794031226,279.14067128754886,58.585,2498.80407,0.0,mean,0.6
precio_oferta_desp,oferta,ex_ante,COP/kWh,ancho_horario,diaria,90,4017,2015-01-01,2025-12-31,100.0,387.043105952586,138.32725201227527,213.55632075471695,1819.197015194805,0.0,mean,14.5
recurso_marginal,oferta,ex_ante,recurso-horas marginales,ancho_horario,diaria,71,4018,2015-01-01,2025-12-31,100.0,23.989795918367346,0.12679542803602675,21.0,24.0,0.0,sum,0.2
irradiacion_global,clima,estado,W/m2,largo,diaria,38,1769,2021-01-01,2025-12-16,44.0,428.6624795028711,98.33086441390833,22.04671,2103.79251,0.0,mean,0.2
irradiacion_panel,clima,estado,W/m2,largo,diaria,38,1770,2021-01-01,2025-12-16,44.1,471.3812449023787,125.50126062591922,9.70331,2279.8851,0.0,mean,0.2
temp_ambiente_solar,clima,estado,C,largo,diaria,38,1771,2021-01-01,2025-12-16,44.1,28.905837975928875,4.055908009679417,14.551589999999997,123.90473,0.0,mean,0.2
temp_panel,clima,estado,C,largo,diaria,38,1770,2021-01-01,2025-12-16,44.1,39.951553818562296,6.329781207574343,2.22192,159.7488,0.0,mean,0.2
demanda_no_regulada,demanda,estado,kWh,ancho_horario,diaria,1,4018,2015-01-01,2025-12-31,100.0,62909466.288101055,7801585.748530256,35207077.1,79970074.50999999,0.0,sum,1.0
demanda_por_or,demanda,estado,kWh,ancho_horario,diaria,35,4018,2015-01-01,2025-12-31,100.0,184754693.3511399,18471168.202105246,122819276.75,226877025.0,0.0,sum,25.4
