variable,n,pearson,spearman,p_spearman,brecha_no_lineal,lag_optimo,VIF,entra
costo_marginal,4018,0.9688161879413113,0.9731020728934808,0.0,0.0042858849521695275,0,11.348806485861573,False
margen_escasez,4018,-0.8128404891020843,-0.8713584994469028,0.0,0.058518010344818516,0,11.319334897653775,False
anomalia_hidro,4018,-0.38860891290867355,-0.46893040037561046,7.431342891265236e-219,0.0803214874669369,3,14.19973244596034,False
aportes_energia,4018,-0.2991292400006971,-0.4299001951697694,1.859779886564738e-180,0.13077095516907228,3,22.083509752542238,False
precio_escasez_act,2647,0.2897816975560469,0.3655846294887527,1.6777586934199181e-84,0.07580293193270582,60,10.134348905783359,False
demanda_min,4018,0.3360281951049112,0.3491622676634647,1.507748520738974e-115,0.013134072558553478,7,inf,False
oni,4018,0.40241649295978255,0.3427600573361992,3.755975707009515e-111,-0.05965643562358336,22,1.4797065907806615,True
demanda_total,4018,0.3250479561253057,0.34025002911743407,1.8634944061082306e-109,0.01520207299212839,7,4242.246402693733,False
demanda_max,4018,0.3212892909089035,0.33672262157178856,4.23410211927546e-107,0.015433330662885048,7,inf,False
reserva_pct,4018,-0.21465139520271795,-0.33352254369666967,5.469782879133885e-105,0.11887114849395172,0,3792.3593352402227,False
generacion_total,4018,0.3207971389813818,0.315722352996596,1.0669046326415214e-93,-0.005074785984785779,21,82.36697472386197,False
volumen_util,4018,-0.18491924839292984,-0.29378007580521637,8.281512708015563e-81,0.10886082741228653,0,3893.733115874443,False
factor_carga,4018,0.23935142358164346,0.2937429898311198,8.688805086401059e-81,0.05439156624947633,6,170.72792626895796,False
capacidad_util,4018,0.2112111330142917,0.232345722631873,2.16603684058898e-50,0.0211345896175813,14,50.3364862106232,False
precio_escasez,4018,0.21123476191660445,0.21079619745403916,1.36891346322046e-41,-0.000438564462565294,60,9.939503220909911,True
aportes_media_hist,4018,0.04127157092547106,-0.1312560179828127,6.621876120008216e-17,0.08998444705734163,60,9.309610231175103,False
rampa_demanda,4018,0.01480311203908487,-0.0012988833495523333,0.9344020791652341,-0.013504228689532535,28,inf,False
