modelo,regimen,n,MAPE_%,RMSE_COP,MAE_COP,RMSE_log,DA_%
Ingenuo (precio ayer),bajo,366,16.32240554195221,46.806794504832105,29.21750517759563,0.21832971554490882,
Ingenuo (precio ayer),medio,364,13.425093973974114,73.27601699334325,52.98045428571429,0.1875503285806839,
Ingenuo (precio ayer),alto,366,8.821173281434827,184.95362476797496,84.66850477231328,0.14737567765439025,
Ingenuo (precio ayer),2023,365,10.772165955052659,70.88631253764481,48.43682881278538,0.1561918472013466,
Ingenuo (precio ayer),2024,366,13.476425269391623,184.9269767324589,84.8960751183971,0.20128762837291342,
Ingenuo (precio ayer),2025,365,14.315265297793648,50.364240819405985,33.46783285388127,0.199079647534626,
XGB expansiva,bajo,366,15.802259247803335,44.80975315552381,27.51289829150566,0.20453684311718398,64.20765027322405
XGB expansiva,medio,364,12.71488975794107,65.18474627646981,50.03476340599337,0.16034972850976675,59.61538461538461
XGB expansiva,alto,366,9.21045979623367,179.49092967473857,95.39364724554127,0.14196755999838168,61.74863387978142
XGB expansiva,2023,365,10.88412196198793,73.42202567977932,54.909274682828666,0.14661868260947153,60.0
XGB expansiva,2024,366,12.512955164487796,175.52763932118086,85.32004292167801,0.1829833496501226,63.661202185792355
XGB expansiva,2025,365,14.32994228953415,47.654252137147246,32.67788651444971,0.18091395017733625,61.917808219178085
XGB deslizante,bajo,366,17.236237687669167,46.254239889383584,29.67528966407091,0.21779206377700855,60.65573770491803
XGB deslizante,medio,364,12.801194096703302,66.96650533098715,50.40989401067378,0.16397754896684164,62.08791208791209
XGB deslizante,alto,366,12.138925995162737,211.5309557351811,123.79193814491138,0.19045647505167543,56.01092896174863
XGB deslizante,2023,365,13.4395598649838,116.53490586954709,77.02297537853126,0.18955291147196424,57.80821917808219
XGB deslizante,2024,366,13.516090987530918,188.237846202164,92.99892480536133,0.1941150779359024,61.20218579234973
XGB deslizante,2025,365,15.229084676605687,48.72913783002023,33.882778920675655,0.1924503857255669,59.726027397260275
RF referencia,bajo,366,16.18865585987404,44.12480832395483,28.12944951594573,0.20741447341729877,59.56284153005464
RF referencia,medio,364,13.028368706109127,68.63573532620867,51.49862011896049,0.17297741910168024,61.26373626373627
RF referencia,alto,366,9.643788473295958,201.06647055946175,101.87941614859973,0.15609604346831235,53.278688524590166
RF referencia,2023,365,10.750110417524159,70.13574189713405,50.546634511768545,0.15050717358905114,56.43835616438356
RF referencia,2024,366,13.717339536996858,199.78750227433338,98.65764981876826,0.19950705292646487,58.46994535519126
RF referencia,2025,365,14.39086099185417,47.385150284184036,32.248003085097395,0.1866709631244794,59.178082191780824
