,bloque,grupo_corr,adf_pvalue,estacionaria,mi,mi_n_obs,granger_p,granger_p_fdr,granger_signif,lasso_abs,perm_imp,r_mi,r_lasso,r_perm,voto_granger,voto_mi,voto_lasso,voto_perm,votos,score
log_precio_lag1,AR,71,0.05400709805388696,False,1.6368127618892148,1825,0.0034398770800045295,0.009112015716773482,True,0.5208186965580747,1.7231465938210868,1.0,1.0,1.0,1,1,1,1,4,1.0
disp_declarada_lag0,OFERTA,66,0.06919230989208494,False,0.4299628010308121,1826,6.077603855936892e-08,3.028838642958713e-07,True,0.019880922675495138,0.00014570954651216272,0.5361842105263158,0.9933993399339934,0.9570957095709571,1,0,1,1,3,0.8288930866770888
consumo_combustible_lag7,EXPOST,75,0.2184141065829221,False,0.6646222128609995,1819,0.0020838366137280544,0.005656127951547576,True,0.004561908551919881,3.195564319800059e-05,0.6973684210526315,0.9570957095709571,0.7821782178217822,1,0,1,1,3,0.8122141161484571
aportes_pct_sistema_lag1,HIDRO,28,2.4757586994824967e-07,True,0.2502147248269866,1825,1.2907937894145413e-14,8.918211635955012e-14,True,0.010058019123418083,0.00018875154147326433,0.3684210526315789,0.9801980198019802,0.9702970297029703,1,0,1,1,3,0.7729720340455097
aportes_pct_sistema_lag2,HIDRO,30,2.64704973347332e-07,True,0.26105422717665583,1824,3.5974707683708785e-05,0.00012866248395114672,True,0.0011690153285529956,0.0005305459672825475,0.39144736842105265,0.9240924092409241,0.9966996699669967,1,0,1,1,3,0.7707464825429912
log_precio_lag7,AR,72,0.05377562549640905,False,0.9568858589999545,1819,2.6946734479913397e-07,1.2226578032677123e-06,True,0.0,0.00010320871272082588,0.8355263157894737,0.4471947194719472,0.9174917491749175,1,1,0,1,3,0.7334042614787796
demanda_upme_alto_lag14,DEMANDA,35,0.008104007396779874,True,1.0396122294901846,1812,0.03179402287399185,0.06575090444689471,True,0.0,3.102492918874988e-05,0.9276315789473685,0.4471947194719472,0.7788778877887789,1,1,0,1,3,0.7179013954026982
aportes_pct_rio_lag1,HIDRO,28,3.523318716132646e-14,True,0.24702222578911393,1825,1.2746099356312673e-09,7.045116735125549e-09,True,0.0010251955037826786,7.216670726650776e-05,0.35526315789473684,0.9174917491749175,0.8745874587458746,1,0,1,1,3,0.7157807886051764
gen_programada_lag1,OFERTA,117,0.0019931939702846797,True,0.1563656463638372,1824,3.680921546662664e-28,4.144445000686852e-27,True,0.012618452063399377,8.363860945500567e-05,0.2631578947368421,0.9834983498349835,0.8976897689768977,1,0,1,1,3,0.7147820045162412
consumo_combustible_lag2,EXPOST,70,0.20861935384309876,False,0.777302424739291,1824,1.4485731862537244e-06,5.871549981615096e-06,True,0.0,0.00012783706436457764,0.7171052631578947,0.4471947194719472,0.9405940594059405,1,1,0,1,3,0.7016313473452609
